,hamiltonian,hamiltonian_desired,h_dot,h_dot_desired,x1,x2,psi,x1_dot,x2_dot,x1_desired,x2_desired,p1,p2,p1_dot,p2_dot,p1_desired,p2_desired,control_constraint,x0,y0,xf,yf,cost,time,elapsed_time
34,-1.5362592,-1.548868,-0.25791407,-0.15079142,-5.091909,10.228908,-2.0264459,-4.409413,-8.996877,-4.4004564,-8.9797535,0.15966676,0.3269142,-0.6932947,0.23234537,-0.69429713,0.22224829,-0.004803419,-4.2610054,11.437855,8.628517,-1.378726,2.1019564,0.14801586,631.3265
35,-1.5374033,-1.5495325,-0.2673635,-0.15450421,-5.110933,10.189661,-2.0177236,-4.33003,-9.033154,-4.321966,-9.017794,0.15665095,0.32791638,-0.6922054,0.22807518,-0.6931546,0.21728538,-0.0045974255,-4.2610054,11.437855,8.628517,-1.378726,2.0967193,0.15236926,631.3265
36,-1.5385861,-1.5502132,-0.2763112,-0.15818839,-5.1296096,10.150258,-2.0090122,-4.250341,-9.068655,-4.243246,-9.055101,0.1536399,0.32889992,-0.6911128,0.22379595,-0.69200623,0.21236092,-0.0043781996,-4.2610054,11.437855,8.628517,-1.378726,2.091568,0.15672266,631.3265
37,-1.539808,-1.5509099,-0.28477407,-0.16184492,-5.147939,10.110703,-2.0003126,-4.1703744,-9.103397,-4.16431,-9.091674,0.15063347,0.32986492,-0.6900168,0.21950789,-0.6908528,0.20747447,-0.004149556,-4.2610054,11.437855,8.628517,-1.378726,2.0865006,0.16107608,631.3265
38,-1.5410647,-1.5516223,-0.2927565,-0.1654748,-5.16592,10.070997,-1.991625,-4.090146,-9.137385,-4.0851693,-9.127508,0.14763205,0.33081114,-0.6889174,0.21521188,-0.6896952,0.20262536,-0.003906727,-4.2610054,11.437855,8.628517,-1.378726,2.0815184,0.16542949,631.3265
39,-1.542356,-1.5523505,-0.30027494,-0.16907883,-5.1835513,10.031146,-1.9829513,-4.0096836,-9.170628,-4.0058475,-9.162597,0.14463533,0.33173865,-0.6878145,0.21090776,-0.688533,0.19781323,-0.0036592484,-4.2610054,11.437855,8.628517,-1.378726,2.0766187,0.16978289,631.3265
40,-1.5436792,-1.5530944,-0.3073414,-0.17265818,-5.200832,9.991151,-1.974291,-3.929006,-9.203133,-3.9263473,-9.196945,0.14164336,0.3326475,-0.68670833,0.20659606,-0.6873678,0.19303761,-0.0034035444,-4.2610054,11.437855,8.628517,-1.378726,2.0718026,0.1741363,631.3265
41,-1.5450306,-1.5538538,-0.31396785,-0.17621376,-5.2177596,9.951015,-1.9656457,-3.8481364,-9.234907,-3.8466911,-9.230545,0.13865624,0.33353746,-0.68559885,0.20227714,-0.6862002,0.18829806,-0.0031428337,-4.2610054,11.437855,8.628517,-1.378726,2.0670695,0.17848971,631.3265
42,-1.5464115,-1.5546285,-0.3201595,-0.1797463,-5.2343354,9.910746,-1.9570156,-3.7670932,-9.265963,-3.766889,-9.263398,0.13567401,0.33440864,-0.6844861,0.1979513,-0.68502975,0.18359406,-0.0028779507,-4.2610054,11.437855,8.628517,-1.378726,2.062418,0.18284312,631.3265
43,-1.5478177,-1.5554186,-0.32593623,-0.18325673,-5.2505593,9.87034,-1.9484018,-3.685897,-9.296303,-3.686957,-9.295502,0.1326965,0.335261,-0.68337,0.19361874,-0.6838569,0.17892477,-0.0026122332,-4.2610054,11.437855,8.628517,-1.378726,2.0578475,0.18719652,631.3265
44,-1.5492487,-1.556224,-0.33130676,-0.18674603,-5.2664285,9.829806,-1.9398044,-3.6045709,-9.325936,-3.6069047,-9.326856,0.12972404,0.33609444,-0.68225056,0.18928033,-0.6826827,0.17429005,-0.002343297,-4.2610054,11.437855,8.628517,-1.378726,2.0533576,0.19154993,631.3265
45,-1.5507019,-1.5570445,-0.3362863,-0.1902152,-5.281943,9.789143,-1.931224,-3.523128,-9.354873,-3.5267444,-9.357461,0.12675633,0.336909,-0.6811279,0.18493596,-0.68150765,0.16968907,-0.0020745993,-4.2610054,11.437855,8.628517,-1.378726,2.0489483,0.19590333,631.3265
46,-1.5521772,-1.5578803,-0.3408838,-0.1936646,-5.2971044,9.748355,-1.9226614,-3.4415917,-9.383118,-3.4464922,-9.387316,0.12379362,0.33770463,-0.6800019,0.18058628,-0.6803308,0.16512115,-0.001806736,-4.2610054,11.437855,8.628517,-1.378726,2.0446165,0.20025675,631.3265
47,-1.5536697,-1.5587308,-0.34511298,-0.19709577,-5.3119082,9.707446,-1.9141167,-3.3599782,-9.410678,-3.3661556,-9.416422,0.12083574,0.3384813,-0.6788728,0.17623146,-0.67915434,0.16058624,-0.0015405416,-4.2610054,11.437855,8.628517,-1.378726,2.040365,0.20461015,631.3265
48,-1.555181,-1.5595963,-0.34898508,-0.20050895,-5.3263583,9.666419,-1.9055909,-3.2783034,-9.437559,-3.2857513,-9.444778,0.11788274,0.33923906,-0.67774034,0.17187187,-0.6779771,0.15608336,-0.0012788773,-4.2610054,11.437855,8.628517,-1.378726,2.0361903,0.20896356,631.3265
49,-1.5567076,-1.5604767,-0.35251462,-0.2039052,-5.340452,9.625276,-1.8970839,-3.1965864,-9.46377,-3.2052865,-9.472388,0.11493479,0.33997777,-0.6766047,0.16750824,-0.67679995,0.15161197,-0.0010192394,-4.2610054,11.437855,8.628517,-1.378726,2.0320926,0.21331696,631.3265
50,-1.55825,-1.5613717,-0.3557105,-0.2072852,-5.3541903,9.58402,-1.8885965,-3.11484,-9.489313,-3.1247768,-9.499251,0.11199173,0.3406975,-0.67546576,0.16314052,-0.67562294,0.14717153,-0.0007660389,-4.2610054,11.437855,8.628517,-1.378726,2.0280704,0.21767038,631.3265
51,-1.5598044,-1.5622814,-0.3585862,-0.21064968,-5.3675723,9.542657,-1.8801291,-3.0330863,-9.514197,-3.0442312,-9.525369,0.10905366,0.34139818,-0.6743237,0.15876934,-0.67444605,0.1427618,-0.0005187988,-4.2610054,11.437855,8.628517,-1.378726,2.0241237,0.22202379,631.3265
52,-1.5613713,-1.5632057,-0.3611559,-0.21399963,-5.3805985,9.5011835,-1.8716816,-2.951331,-9.538428,-2.9636579,-9.550745,0.10612045,0.34207988,-0.67317826,0.15439491,-0.67327005,0.13838151,-0.0002783537,-4.2610054,11.437855,8.628517,-1.378726,2.0202513,0.22637719,631.3265
53,-1.5629475,-1.5641446,-0.36342928,-0.21733564,-5.393268,9.459607,-1.8632542,-2.8695953,-9.562012,-2.8830657,-9.575382,0.103192315,0.3427425,-0.6720297,0.15001775,-0.672095,0.13403063,-4.3272972e-05,-4.2610054,11.437855,8.628517,-1.378726,2.0164528,0.2307306,631.3265
54,-1.5645344,-1.565098,-0.365415,-0.22065815,-5.405583,9.417931,-1.854848,-2.787887,-9.58495,-2.8024726,-9.599278,0.1002692,0.34338605,-0.6708778,0.14563832,-0.6709201,0.12970835,0.00018191338,-4.2610054,11.437855,8.628517,-1.378726,2.0127256,0.23508401,631.3265
55,-1.5661294,-1.5660658,-0.36712855,-0.22396815,-5.417542,9.376154,-1.8464625,-2.7062237,-9.60725,-2.72188,-9.622441,0.09735124,0.34401053,-0.66972274,0.14125709,-0.6697461,0.12541404,0.00040107965,-4.2610054,11.437855,8.628517,-1.378726,2.0090702,0.23943742,631.3265
56,-1.5677311,-1.567048,-0.3685826,-0.22726606,-5.4291463,9.334282,-1.8380982,-2.6246169,-9.628918,-2.6413007,-9.644871,0.09443806,0.34461597,-0.66856426,0.136874,-0.6685727,0.121147156,0.0006085634,-4.2610054,11.437855,8.628517,-1.378726,2.0054846,0.24379082,631.3265
57,-1.5693393,-1.5680445,-0.36978456,-0.23055275,-5.440395,9.292319,-1.8297552,-2.5430796,-9.649956,-2.5607424,-9.666571,0.091530055,0.3452023,-0.6674026,0.13248989,-0.66740024,0.11690741,0.00080758333,-4.2610054,11.437855,8.628517,-1.378726,2.0019684,0.24814422,631.3265
58,-1.5709509,-1.5690553,-0.37074882,-0.23382886,-5.4512887,9.250264,-1.8214334,-2.4616187,-9.670367,-2.4802117,-9.687546,0.088627145,0.34576952,-0.6662376,0.12810518,-0.6662289,0.11269383,0.000997901,-4.2610054,11.437855,8.628517,-1.378726,1.9985214,0.25249764,631.3265
59,-1.5725663,-1.5700804,-0.37148565,-0.2370949,-5.4618278,9.208121,-1.8131336,-2.3802478,-9.690159,-2.3997226,-9.707798,0.085729256,0.34631765,-0.6650693,0.12371997,-0.6650584,0.10850602,0.0011759996,-4.2610054,11.437855,8.628517,-1.378726,1.9951417,0.25685105,631.3265
60,-1.5741838,-1.5711197,-0.37200832,-0.24035168,-5.472012,9.165894,-1.8048555,-2.2989795,-9.709332,-2.319279,-9.727329,0.08283652,0.3468467,-0.6638975,0.119334936,-0.66388905,0.10434346,0.0013439059,-4.2610054,11.437855,8.628517,-1.378726,1.9918293,0.26120445,631.3265
61,-1.5758045,-1.5721731,-0.37232256,-0.24359928,-5.4818444,9.123584,-1.7965991,-2.217818,-9.727893,-2.2388887,-9.746147,0.07994889,0.34735668,-0.66272265,0.11495043,-0.66271996,0.10020549,0.0015006661,-4.2610054,11.437855,8.628517,-1.378726,1.9885812,0.26555786,631.3265
62,-1.5774257,-1.5732406,-0.37244338,-0.24683863,-5.491323,9.081195,-1.7883645,-2.136776,-9.745843,-2.158558,-9.764253,0.07706623,0.34784758,-0.66154414,0.11056661,-0.66155165,0.09609169,0.001644969,-4.2610054,11.437855,8.628517,-1.378726,1.9853978,0.26991126,631.3265
63,-1.5790473,-1.5743222,-0.37237996,-0.25007007,-5.5004497,9.03873,-1.7801518,-2.0558639,-9.7631855,-2.0782952,-9.781651,0.07418896,0.34831935,-0.6603623,0.1061845,-0.6603837,0.092001475,0.0017800331,-4.2610054,11.437855,8.628517,-1.378726,1.9822773,0.27426466,631.3265
64,-1.580668,-1.5754179,-0.37214172,-0.25329447,-5.5092235,8.99619,-1.771961,-1.9750845,-9.7799225,-1.9981062,-9.798346,0.071316734,0.34877205,-0.65917706,0.101803996,-0.65921646,0.08793438,0.0019023418,-4.2610054,11.437855,8.628517,-1.378726,1.9792197,0.27861807,631.3265
65,-1.5822871,-1.5765275,-0.3717413,-0.25651193,-5.5176463,8.95358,-1.7637923,-1.8944502,-9.796056,-1.9180007,-9.814341,0.0684496,0.34920573,-0.65798825,0.09742556,-0.65804946,0.08388988,0.002010882,-4.2610054,11.437855,8.628517,-1.378726,1.9762232,0.28297147,631.3265
66,-1.5839045,-1.5776513,-0.3711871,-0.25972322,-5.5257177,8.910899,-1.7556446,-1.8139629,-9.811592,-1.8379736,-9.829641,0.065587685,0.3496204,-0.6567958,0.0930498,-0.6568826,0.079867296,0.0021104217,-4.2610054,11.437855,8.628517,-1.378726,1.9732871,0.2873249,631.3265
67,-1.5855184,-1.578789,-0.37048873,-0.26292863,-5.53344,8.868151,-1.7475188,-1.73363,-9.82653,-1.7580402,-9.844252,0.06273106,0.35001594,-0.65559995,0.088677205,-0.65571564,0.0758661,0.0021982193,-4.2610054,11.437855,8.628517,-1.378726,1.9704101,0.2916783,631.3265
68,-1.5871301,-1.5799406,-0.3696575,-0.26612848,-5.540813,8.825341,-1.7394149,-1.6534632,-9.84087,-1.678207,-9.858175,0.059879526,0.35039246,-0.6544004,0.084307976,-0.65454817,0.071886174,0.0022717714,-4.2610054,11.437855,8.628517,-1.378726,1.9675906,0.2960317,631.3265
